City ID,City Name,Country Code,Date (UTC),Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
266,Astoria,US,2020-05-12 02:36:59,46.19,-123.83,57.34,71,90,1.72
267,Abapo,BO,2020-05-12 02:36:59,-18.83,-63.47,68.29,84,96,2.86
268,Svetlogorsk,BY,2020-05-12 02:36:59,52.63,29.73,59.41,93,96,13.18
269,Yelniki,RU,2020-05-12 02:36:59,54.62,43.88,50.07,87,0,7.7
270,Dobre Miasto,PL,2020-05-12 02:36:59,53.99,20.4,33.15,95,100,6.58
271,San Vicente,AR,2020-05-12 02:37:09,-26.62,-54.13,65.34,91,95,3.56
272,Sorkjosen,NO,2020-05-12 02:37:09,69.8,20.93,30.4,95,100,16.04
273,Najran,SA,2020-05-12 02:29:11,17.49,44.13,75.2,44,0,1.36
274,Broome,US,2020-05-12 02:28:28,42.25,-75.83,37.11,93,90,8.05
275,Iskateley,RU,2020-05-12 02:29:45,67.68,53.15,39.22,99,76,13.09
276,Chokurdakh,RU,2020-05-12 02:37:09,70.63,147.92,31.71,99,78,9.8
277,Road Town,VG,2020-05-12 02:29:41,18.42,-64.62,80.67,82,3,17.0
278,Zhuanghe,CN,2020-05-12 02:37:09,39.7,122.99,63.55,34,0,19.35
279,Swift Current,CA,2020-05-12 02:37:09,50.28,-107.8,42.8,33,1,10.29
280,Bahar,IR,2020-05-12 02:37:09,34.91,48.44,46.4,54,0,9.17
281,Luba,GQ,2020-05-12 02:37:10,3.46,8.55,77.0,76,20,4.18
282,Labuhan,ID,2020-05-12 02:37:10,-6.88,112.21,84.94,74,14,7.92
283,Narrabri,AU,2020-05-12 02:37:10,-30.32,149.78,67.15,32,81,3.36
284,Phalaborwa,ZA,2020-05-12 02:37:10,-23.94,31.14,59.0,72,0,4.7
285,Mehamn,NO,2020-05-12 02:28:23,71.04,27.85,30.72,96,100,37.8
286,La Cruz,MX,2020-05-12 02:37:10,23.92,-106.9,70.0,84,0,0.74
287,Chegdomyn,RU,2020-05-12 02:37:10,51.12,133.02,40.44,90,100,2.48
288,Ternate,ID,2020-05-12 02:37:10,0.8,127.4,86.23,63,0,7.02
289,Sao Filipe,CV,2020-05-12 02:37:10,14.9,-24.5,72.27,80,5,9.17
290,Novaya Igirma,RU,2020-05-12 02:37:10,57.13,103.91,59.43,60,100,9.75
291,Choix,MX,2020-05-12 02:37:10,26.71,-108.32,77.74,29,60,3.29
292,Kosa,RU,2020-05-12 02:37:10,59.94,55.0,54.21,78,100,0.96
293,Muroto,JP,2020-05-12 02:29:10,33.28,134.15,73.4,53,100,9.17
294,Dikson,RU,2020-05-12 02:37:10,73.51,80.55,31.32,98,67,4.99
295,Chadiza,ZM,2020-05-12 02:37:10,-14.07,32.44,56.17,83,76,2.68
296,Ilheus,BR,2020-05-12 02:33:47,-14.79,-39.05,71.92,93,74,6.31
297,Gravdal,NO,2020-05-12 02:28:28,68.12,13.5,36.86,78,10,13.22
298,Codrington,AU,2020-05-12 02:27:53,-38.27,141.97,60.15,58,100,18.23
299,Yumen,CN,2020-05-12 02:27:51,40.28,97.2,60.93,22,96,6.4
300,Ridgecrest,US,2020-05-12 02:33:50,35.62,-117.67,76.32,9,1,29.97
